data_type,material_type,year,month,type,month_usage_by_type,month_sum_all_types,year_sum_by_type
Pounds of Materials Used,Grain Products,2011,4,Wheat and wheat products,1816659,546957810,23029222
Pounds of Materials Used,Non-Grain Products,2011,4,Sugar and syrups,68297327,546957810,770916505
Pounds of Materials Used,Non-Grain Products,2011,4,Hops (dry),9942341,546957810,106888010
Pounds of Materials Used,Non-Grain Products,2011,4,Hops (used as extracts),330339,546957810,3823534
Pounds of Materials Used,Grain Products,2011,5,Malt and malt products,352623620,549431795,4003433125
Pounds of Materials Used,Grain Products,2011,5,Corn and corn products,50573951,549431795,628920326
Pounds of Materials Used,Grain Products,2011,5,Rice and rice products,62118962,549431795,747530033
Pounds of Materials Used,Grain Products,2011,5,Barley and barley products,5564462,549431795,110948162
Pounds of Materials Used,Grain Products,2011,5,Wheat and wheat products,1721632,549431795,23029222
Pounds of Materials Used,Non-Grain Products,2011,5,Sugar and syrups,66314234,549431795,770916505
Pounds of Materials Used,Non-Grain Products,2011,5,Hops (dry),10076039,549431795,106888010
Pounds of Materials Used,Non-Grain Products,2011,5,Hops (used as extracts),438895,549431795,3823534
Pounds of Materials Used,Grain Products,2011,6,Malt and malt products,372541998,582433497,4003433125
Pounds of Materials Used,Grain Products,2011,6,Corn and corn products,49399750,582433497,628920326
Pounds of Materials Used,Grain Products,2011,6,Rice and rice products,69701464,582433497,747530033
Pounds of Materials Used,Grain Products,2011,6,Barley and barley products,10363329,582433497,110948162
Pounds of Materials Used,Grain Products,2011,6,Wheat and wheat products,2305971,582433497,23029222
Pounds of Materials Used,Non-Grain Products,2011,6,Sugar and syrups,67178952,582433497,770916505
Pounds of Materials Used,Non-Grain Products,2011,6,Hops (dry),10603566,582433497,106888010
Pounds of Materials Used,Non-Grain Products,2011,6,Hops (used as extracts),338467,582433497,3823534
Pounds of Materials Used,Grain Products,2011,7,Malt and malt products,350751002,547979190,4003433125
Pounds of Materials Used,Grain Products,2011,7,Corn and corn products,47864835,547979190,628920326
Pounds of Materials Used,Grain Products,2011,7,Rice and rice products,69787950,547979190,747530033
Pounds of Materials Used,Grain Products,2011,7,Barley and barley products,6014579,547979190,110948162
Pounds of Materials Used,Grain Products,2011,7,Wheat and wheat products,1523087,547979190,23029222
Pounds of Materials Used,Non-Grain Products,2011,7,Sugar and syrups,62190400,547979190,770916505
Pounds of Materials Used,Non-Grain Products,2011,7,Hops (dry),9514024,547979190,106888010
Pounds of Materials Used,Non-Grain Products,2011,7,Hops (used as extracts),333313,547979190,3823534
Pounds of Materials Used,Grain Products,2011,8,Malt and malt products,361924350,559865931,4003433125
Pounds of Materials Used,Grain Products,2011,8,Corn and corn products,49085339,559865931,628920326
Pounds of Materials Used,Grain Products,2011,8,Rice and rice products,72428017,559865931,747530033
Pounds of Materials Used,Grain Products,2011,8,Barley and barley products,6775228,559865931,110948162
Pounds of Materials Used,Grain Products,2011,8,Wheat and wheat products,1749667,559865931,23029222
Pounds of Materials Used,Non-Grain Products,2011,8,Sugar and syrups,60003874,559865931,770916505
Pounds of Materials Used,Non-Grain Products,2011,8,Hops (dry),7575266,559865931,106888010
Pounds of Materials Used,Non-Grain Products,2011,8,Hops (used as extracts),324190,559865931,3823534
Pounds of Materials Used,Grain Products,2011,9,Malt and malt products,312845217,518897236,4003433125
Pounds of Materials Used,Grain Products,2011,9,Corn and corn products,47180399,518897236,628920326
Pounds of Materials Used,Grain Products,2011,9,Rice and rice products,55188865,518897236,747530033
Pounds of Materials Used,Grain Products,2011,9,Barley and barley products,32343039,518897236,110948162
Pounds of Materials Used,Grain Products,2011,9,Wheat and wheat products,2260859,518897236,23029222
Pounds of Materials Used,Non-Grain Products,2011,9,Sugar and syrups,61317581,518897236,770916505
Pounds of Materials Used,Non-Grain Products,2011,9,Hops (dry),7462299,518897236,106888010
Pounds of Materials Used,Non-Grain Products,2011,9,Hops (used as extracts),298977,518897236,3823534
Pounds of Materials Used,Grain Products,2011,10,Malt and malt products,313380880,492957919,4003433125
Pounds of Materials Used,Grain Products,2011,10,Corn and corn products,48090884,492957919,628920326
Pounds of Materials Used,Grain Products,2011,10,Rice and rice products,50132872,492957919,747530033
Pounds of Materials Used,Grain Products,2011,10,Barley and barley products,6773403,492957919,110948162
Pounds of Materials Used,Grain Products,2011,10,Wheat and wheat products,1555618,492957919,23029222
Pounds of Materials Used,Non-Grain Products,2011,10,Sugar and syrups,65478836,492957919,770916505
Pounds of Materials Used,Non-Grain Products,2011,10,Hops (dry),7238838,492957919,106888010
Pounds of Materials Used,Non-Grain Products,2011,10,Hops (used as extracts),306588,492957919,3823534
Pounds of Materials Used,Grain Products,2011,11,Malt and malt products,303152329,472109150,4003433125
Pounds of Materials Used,Grain Products,2011,11,Corn and corn products,53879230,472109150,628920326
Pounds of Materials Used,Grain Products,2011,11,Rice and rice products,43496310,472109150,747530033
Pounds of Materials Used,Grain Products,2011,11,Barley and barley products,5909830,472109150,110948162
Pounds of Materials Used,Grain Products,2011,11,Wheat and wheat products,1297888,472109150,23029222
Pounds of Materials Used,Non-Grain Products,2011,11,Sugar and syrups,55627592,472109150,770916505
Pounds of Materials Used,Non-Grain Products,2011,11,Hops (dry),8455615,472109150,106888010
Pounds of Materials Used,Non-Grain Products,2011,11,Hops (used as extracts),290356,472109150,3823534
Pounds of Materials Used,Grain Products,2011,12,Malt and malt products,293640890,468655675,4003433125
Pounds of Materials Used,Grain Products,2011,12,Corn and corn products,50507994,468655675,628920326
Pounds of Materials Used,Grain Products,2011,12,Rice and rice products,46841203,468655675,747530033
Pounds of Materials Used,Grain Products,2011,12,Barley and barley products,11793946,468655675,110948162
Pounds of Materials Used,Grain Products,2011,12,Wheat and wheat products,1612682,468655675,23029222
Pounds of Materials Used,Non-Grain Products,2011,12,Sugar and syrups,52413557,468655675,770916505
Pounds of Materials Used,Non-Grain Products,2011,12,Hops (dry),11606511,468655675,106888010
Pounds of Materials Used,Non-Grain Products,2011,12,Hops (used as extracts),238892,468655675,3823534
Pounds of Materials Used,Grain Products,2012,1,Malt and malt products,315214803,520198745,4099141038
Pounds of Materials Used,Grain Products,2012,1,Corn and corn products,61859978,520198745,683677592
Pounds of Materials Used,Grain Products,2012,1,Rice and rice products,63568058,520198745,715986471
Pounds of Materials Used,Grain Products,2012,1,Barley and barley products,5391781,520198745,124424106
Pounds of Materials Used,Grain Products,2012,1,Wheat and wheat products,1319508,520198745,24872781
Pounds of Materials Used,Non-Grain Products,2012,1,Sugar and syrups,62988309,520198745,897543431
Pounds of Materials Used,Non-Grain Products,2012,1,Hops (dry),9562820,520198745,118842060
Pounds of Materials Used,Non-Grain Products,2012,1,Hops (used as extracts),293488,520198745,4221145
Pounds of Materials Used,Grain Products,2012,2,Malt and malt products,320430694,511320558,4099141038
Pounds of Materials Used,Grain Products,2012,2,Corn and corn products,62631394,511320558,683677592
Pounds of Materials Used,Grain Products,2012,2,Rice and rice products,54333308,511320558,715986471
Pounds of Materials Used,Grain Products,2012,2,Barley and barley products,5493934,511320558,124424106
Pounds of Materials Used,Grain Products,2012,2,Wheat and wheat products,1358318,511320558,24872781
Pounds of Materials Used,Non-Grain Products,2012,2,Sugar and syrups,65344809,511320558,897543431
Pounds of Materials Used,Non-Grain Products,2012,2,Hops (dry),1366949,511320558,118842060
Pounds of Materials Used,Non-Grain Products,2012,2,Hops (used as extracts),361152,511320558,4221145
Pounds of Materials Used,Grain Products,2012,3,Malt and malt products,366122047,596468564,4099141038
Pounds of Materials Used,Grain Products,2012,3,Corn and corn products,62376094,596468564,683677592
Pounds of Materials Used,Grain Products,2012,3,Rice and rice products,59022797,596468564,715986471
Pounds of Materials Used,Grain Products,2012,3,Barley and barley products,15647530,596468564,124424106
Pounds of Materials Used,Grain Products,2012,3,Wheat and wheat products,2817135,596468564,24872781
Pounds of Materials Used,Non-Grain Products,2012,3,Sugar and syrups,79859286,596468564,897543431
Pounds of Materials Used,Non-Grain Products,2012,3,Hops (dry),10288665,596468564,118842060
Pounds of Materials Used,Non-Grain Products,2012,3,Hops (used as extracts),335010,596468564,4221145
Pounds of Materials Used,Grain Products,2012,4,Malt and malt products,357106000,579781541,4099141038
Pounds of Materials Used,Grain Products,2012,4,Corn and corn products,61313630,579781541,683677592
Pounds of Materials Used,Grain Products,2012,4,Rice and rice products,57264320,579781541,715986471
Pounds of Materials Used,Grain Products,2012,4,Barley and barley products,7634002,579781541,124424106
Pounds of Materials Used,Grain Products,2012,4,Wheat and wheat products,2001345,579781541,24872781
Pounds of Materials Used,Non-Grain Products,2012,4,Sugar and syrups,82481856,579781541,897543431
Pounds of Materials Used,Non-Grain Products,2012,4,Hops (dry),11641934,579781541,118842060
Pounds of Materials Used,Non-Grain Products,2012,4,Hops (used as extracts),338454,579781541,4221145
Pounds of Materials Used,Grain Products,2012,5,Malt and malt products,373071360,610966657,4099141038
Pounds of Materials Used,Grain Products,2012,5,Corn and corn products,66220273,610966657,683677592
Pounds of Materials Used,Grain Products,2012,5,Rice and rice products,61702673,610966657,715986471
Pounds of Materials Used,Grain Products,2012,5,Barley and barley products,7116069,610966657,124424106
Pounds of Materials Used,Grain Products,2012,5,Wheat and wheat products,2141313,610966657,24872781
Pounds of Materials Used,Non-Grain Products,2012,5,Sugar and syrups,87785168,610966657,897543431
Pounds of Materials Used,Non-Grain Products,2012,5,Hops (dry),12583340,610966657,118842060
Pounds of Materials Used,Non-Grain Products,2012,5,Hops (used as extracts),346461,610966657,4221145
Pounds of Materials Used,Grain Products,2012,6,Malt and malt products,387306474,632637995,4099141038
Pounds of Materials Used,Grain Products,2012,6,Corn and corn products,63113188,632637995,683677592
Pounds of Materials Used,Grain Products,2012,6,Rice and rice products,59527958,632637995,715986471
Pounds of Materials Used,Grain Products,2012,6,Barley and barley products,17104839,632637995,124424106
Pounds of Materials Used,Grain Products,2012,6,Wheat and wheat products,2947584,632637995,24872781
Pounds of Materials Used,Non-Grain Products,2012,6,Sugar and syrups,89443470,632637995,897543431
Pounds of Materials Used,Non-Grain Products,2012,6,Hops (dry),12720422,632637995,118842060
Pounds of Materials Used,Non-Grain Products,2012,6,Hops (used as extracts),474060,632637995,4221145
Pounds of Materials Used,Grain Products,2012,7,Malt and malt products,363222892,603154578,4099141038
Pounds of Materials Used,Grain Products,2012,7,Corn and corn products,62878256,603154578,683677592
Pounds of Materials Used,Grain Products,2012,7,Rice and rice products,60381322,603154578,715986471
Pounds of Materials Used,Grain Products,2012,7,Barley and barley products,9486054,603154578,124424106
Pounds of Materials Used,Grain Products,2012,7,Wheat and wheat products,2062199,603154578,24872781
Pounds of Materials Used,Non-Grain Products,2012,7,Sugar and syrups,92543919,603154578,897543431
Pounds of Materials Used,Non-Grain Products,2012,7,Hops (dry),12188084,603154578,118842060
Pounds of Materials Used,Non-Grain Products,2012,7,Hops (used as extracts),391852,603154578,4221145
Pounds of Materials Used,Grain Products,2012,8,Malt and malt products,362799587,580246260,4099141038
Pounds of Materials Used,Grain Products,2012,8,Corn and corn products,53320491,580246260,683677592
Pounds of Materials Used,Grain Products,2012,8,Rice and rice products,65214228,580246260,715986471
Pounds of Materials Used,Grain Products,2012,8,Barley and barley products,8622164,580246260,124424106
Pounds of Materials Used,Grain Products,2012,8,Wheat and wheat products,2286719,580246260,24872781
Pounds of Materials Used,Non-Grain Products,2012,8,Sugar and syrups,77156577,580246260,897543431
Pounds of Materials Used,Non-Grain Products,2012,8,Hops (dry),10374025,580246260,118842060
Pounds of Materials Used,Non-Grain Products,2012,8,Hops (used as extracts),472469,580246260,4221145
Pounds of Materials Used,Grain Products,2012,9,Malt and malt products,336789908,544474357,4099141038
Pounds of Materials Used,Grain Products,2012,9,Corn and corn products,50320517,544474357,683677592
Pounds of Materials Used,Grain Products,2012,9,Rice and rice products,62119884,544474357,715986471
Pounds of Materials Used,Grain Products,2012,9,Barley and barley products,16834020,544474357,124424106
Pounds of Materials Used,Grain Products,2012,9,Wheat and wheat products,2676324,544474357,24872781
Pounds of Materials Used,Non-Grain Products,2012,9,Sugar and syrups,65251144,544474357,897543431
Pounds of Materials Used,Non-Grain Products,2012,9,Hops (dry),10180667,544474357,118842060
Pounds of Materials Used,Non-Grain Products,2012,9,Hops (used as extracts),301893,544474357,4221145
Pounds of Materials Used,Grain Products,2012,10,Malt and malt products,321542825,523396452,4099141038
Pounds of Materials Used,Grain Products,2012,10,Corn and corn products,50852126,523396452,683677592
Pounds of Materials Used,Grain Products,2012,10,Rice and rice products,59885904,523396452,715986471
Pounds of Materials Used,Grain Products,2012,10,Barley and barley products,9353404,523396452,124424106
Pounds of Materials Used,Grain Products,2012,10,Wheat and wheat products,1762481,523396452,24872781
Pounds of Materials Used,Non-Grain Products,2012,10,Sugar and syrups,70185532,523396452,897543431
Pounds of Materials Used,Non-Grain Products,2012,10,Hops (dry),9505007,523396452,118842060
Pounds of Materials Used,Non-Grain Products,2012,10,Hops (used as extracts),309173,523396452,4221145
Pounds of Materials Used,Grain Products,2012,11,Malt and malt products,295672895,486852168,4099141038
Pounds of Materials Used,Grain Products,2012,11,Corn and corn products,44981825,486852168,683677592
Pounds of Materials Used,Grain Products,2012,11,Rice and rice products,61082730,486852168,715986471
Pounds of Materials Used,Grain Products,2012,11,Barley and barley products,7563555,486852168,124424106
Pounds of Materials Used,Grain Products,2012,11,Wheat and wheat products,1709859,486852168,24872781
Pounds of Materials Used,Non-Grain Products,2012,11,Sugar and syrups,64916501,486852168,897543431
Pounds of Materials Used,Non-Grain Products,2012,11,Hops (dry),10621547,486852168,118842060
Pounds of Materials Used,Non-Grain Products,2012,11,Hops (used as extracts),303256,486852168,4221145
Pounds of Materials Used,Grain Products,2012,12,Malt and malt products,299861553,479210749,4099141038
Pounds of Materials Used,Grain Products,2012,12,Corn and corn products,43809820,479210749,683677592
Pounds of Materials Used,Grain Products,2012,12,Rice and rice products,51883289,479210749,715986471
Pounds of Materials Used,Grain Products,2012,12,Barley and barley products,14176754,479210749,124424106
Pounds of Materials Used,Grain Products,2012,12,Wheat and wheat products,1789996,479210749,24872781
Pounds of Materials Used,Non-Grain Products,2012,12,Sugar and syrups,59586860,479210749,897543431
Pounds of Materials Used,Non-Grain Products,2012,12,Hops (dry),7808600,479210749,118842060
Pounds of Materials Used,Non-Grain Products,2012,12,Hops (used as extracts),293877,479210749,4221145
Pounds of Materials Used,Grain Products,2013,1,Malt and malt products,326450615,530878866,3939110211
Pounds of Materials Used,Grain Products,2013,1,Corn and corn products,50597106,530878866,592554950
Pounds of Materials Used,Grain Products,2013,1,Rice and rice products,62177066,530878866,723547930
Pounds of Materials Used,Grain Products,2013,1,Barley and barley products,7749970,530878866,144284274
Pounds of Materials Used,Grain Products,2013,1,Wheat and wheat products,1537526,530878866,28885469
Pounds of Materials Used,Non-Grain Products,2013,1,Sugar and syrups,72878590,530878866,923500958
Pounds of Materials Used,Non-Grain Products,2013,1,Hops (dry),9164708,530878866,81078400
Pounds of Materials Used,Non-Grain Products,2013,1,Hops (used as extracts),323285,530878866,3885117
Pounds of Materials Used,Grain Products,2013,2,Malt and malt products,311283986,510043823,3939110211
Pounds of Materials Used,Grain Products,2013,2,Corn and corn products,46499056,510043823,592554950
Pounds of Materials Used,Grain Products,2013,2,Rice and rice products,61926310,510043823,723547930
Pounds of Materials Used,Grain Products,2013,2,Barley and barley products,7486134,510043823,144284274
Pounds of Materials Used,Grain Products,2013,2,Wheat and wheat products,1823446,510043823,28885469
Pounds of Materials Used,Non-Grain Products,2013,2,Sugar and syrups,71244280,510043823,923500958
Pounds of Materials Used,Non-Grain Products,2013,2,Hops (dry),9456485,510043823,81078400
Pounds of Materials Used,Non-Grain Products,2013,2,Hops (used as extracts),324126,510043823,3885117
Pounds of Materials Used,Grain Products,2013,3,Malt and malt products,340319408,564525451,3939110211
Pounds of Materials Used,Grain Products,2013,3,Corn and corn products,47314812,564525451,592554950
Pounds of Materials Used,Grain Products,2013,3,Rice and rice products,62869950,564525451,723547930
Pounds of Materials Used,Grain Products,2013,3,Barley and barley products,15469983,564525451,144284274
Pounds of Materials Used,Grain Products,2013,3,Wheat and wheat products,2721578,564525451,28885469
Pounds of Materials Used,Non-Grain Products,2013,3,Sugar and syrups,85703037,564525451,923500958
Pounds of Materials Used,Non-Grain Products,2013,3,Hops (dry),9754327,564525451,81078400
Pounds of Materials Used,Non-Grain Products,2013,3,Hops (used as extracts),372356,564525451,3885117
Pounds of Materials Used,Grain Products,2013,4,Malt and malt products,334351807,557414859,3939110211
Pounds of Materials Used,Grain Products,2013,4,Corn and corn products,46416330,557414859,592554950
Pounds of Materials Used,Grain Products,2013,4,Rice and rice products,63584763,557414859,723547930
Pounds of Materials Used,Grain Products,2013,4,Barley and barley products,8355161,557414859,144284274
Pounds of Materials Used,Grain Products,2013,4,Wheat and wheat products,2339352,557414859,28885469
Pounds of Materials Used,Non-Grain Products,2013,4,Sugar and syrups,92273777,557414859,923500958
Pounds of Materials Used,Non-Grain Products,2013,4,Hops (dry),9791137,557414859,81078400
Pounds of Materials Used,Non-Grain Products,2013,4,Hops (used as extracts),302532,557414859,3885117
Pounds of Materials Used,Grain Products,2013,5,Malt and malt products,353589770,593421947,3939110211
Pounds of Materials Used,Grain Products,2013,5,Corn and corn products,53185970,593421947,592554950
Pounds of Materials Used,Grain Products,2013,5,Rice and rice products,65774053,593421947,723547930
Pounds of Materials Used,Grain Products,2013,5,Barley and barley products,9322039,593421947,144284274
Pounds of Materials Used,Grain Products,2013,5,Wheat and wheat products,4781594,593421947,28885469
Pounds of Materials Used,Non-Grain Products,2013,5,Sugar and syrups,96158421,593421947,923500958
Pounds of Materials Used,Non-Grain Products,2013,5,Hops (dry),10286943,593421947,81078400
Pounds of Materials Used,Non-Grain Products,2013,5,Hops (used as extracts),323157,593421947,3885117
Pounds of Materials Used,Grain Products,2013,6,Malt and malt products,370101067,610150269,3939110211
Pounds of Materials Used,Grain Products,2013,6,Corn and corn products,53527463,610150269,592554950
Pounds of Materials Used,Grain Products,2013,6,Rice and rice products,64271218,610150269,723547930
Pounds of Materials Used,Grain Products,2013,6,Barley and barley products,18971859,610150269,144284274
Pounds of Materials Used,Grain Products,2013,6,Wheat and wheat products,3161620,610150269,28885469
Pounds of Materials Used,Non-Grain Products,2013,6,Sugar and syrups,87459068,610150269,923500958
Pounds of Materials Used,Non-Grain Products,2013,6,Hops (dry),12319034,610150269,81078400
Pounds of Materials Used,Non-Grain Products,2013,6,Hops (used as extracts),338940,610150269,3885117
Pounds of Materials Used,Grain Products,2013,7,Malt and malt products,367999200,606293647,3939110211
Pounds of Materials Used,Grain Products,2013,7,Corn and corn products,49297406,606293647,592554950
Pounds of Materials Used,Grain Products,2013,7,Rice and rice products,76426446,606293647,723547930
Pounds of Materials Used,Grain Products,2013,7,Barley and barley products,9479272,606293647,144284274
Pounds of Materials Used,Grain Products,2013,7,Wheat and wheat products,2159949,606293647,28885469
Pounds of Materials Used,Non-Grain Products,2013,7,Sugar and syrups,89540845,606293647,923500958
Pounds of Materials Used,Non-Grain Products,2013,7,Hops (dry),11044977,606293647,81078400
Pounds of Materials Used,Non-Grain Products,2013,7,Hops (used as extracts),345552,606293647,3885117
Pounds of Materials Used,Grain Products,2013,8,Malt and malt products,339968116,551237878,3939110211
Pounds of Materials Used,Grain Products,2013,8,Corn and corn products,50568490,551237878,592554950
Pounds of Materials Used,Grain Products,2013,8,Rice and rice products,66799703,551237878,723547930
Pounds of Materials Used,Grain Products,2013,8,Barley and barley products,10069803,551237878,144284274
Pounds of Materials Used,Grain Products,2013,8,Wheat and wheat products,1940771,551237878,28885469
Pounds of Materials Used,Non-Grain Products,2013,8,Sugar and syrups,79896297,551237878,923500958
Pounds of Materials Used,Non-Grain Products,2013,8,Hops (dry),1670049,551237878,81078400
Pounds of Materials Used,Non-Grain Products,2013,8,Hops (used as extracts),324649,551237878,3885117
Pounds of Materials Used,Grain Products,2013,9,Malt and malt products,303711377,496149924,3939110211
Pounds of Materials Used,Grain Products,2013,9,Corn and corn products,51834721,496149924,592554950
Pounds of Materials Used,Grain Products,2013,9,Rice and rice products,53400257,496149924,723547930
Pounds of Materials Used,Grain Products,2013,9,Barley and barley products,19626718,496149924,144284274
Pounds of Materials Used,Grain Products,2013,9,Wheat and wheat products,2861762,496149924,28885469
Pounds of Materials Used,Non-Grain Products,2013,9,Sugar and syrups,62065299,496149924,923500958
Pounds of Materials Used,Non-Grain Products,2013,9,Hops (dry),2339398,496149924,81078400
Pounds of Materials Used,Non-Grain Products,2013,9,Hops (used as extracts),310392,496149924,3885117
Pounds of Materials Used,Grain Products,2013,10,Malt and malt products,321371392,509178232,3939110211
Pounds of Materials Used,Grain Products,2013,10,Corn and corn products,53528251,509178232,592554950
Pounds of Materials Used,Grain Products,2013,10,Rice and rice products,54082902,509178232,723547930
Pounds of Materials Used,Grain Products,2013,10,Barley and barley products,10271881,509178232,144284274
Pounds of Materials Used,Grain Products,2013,10,Wheat and wheat products,1915107,509178232,28885469
Pounds of Materials Used,Non-Grain Products,2013,10,Sugar and syrups,66002563,509178232,923500958
Pounds of Materials Used,Non-Grain Products,2013,10,Hops (dry),1681113,509178232,81078400
Pounds of Materials Used,Non-Grain Products,2013,10,Hops (used as extracts),325023,509178232,3885117
Pounds of Materials Used,Grain Products,2013,11,Malt and malt products,275715285,431132317,3939110211
Pounds of Materials Used,Grain Products,2013,11,Corn and corn products,41543251,431132317,592554950
Pounds of Materials Used,Grain Products,2013,11,Rice and rice products,44402687,431132317,723547930
Pounds of Materials Used,Grain Products,2013,11,Barley and barley products,7902110,431132317,144284274
Pounds of Materials Used,Grain Products,2013,11,Wheat and wheat products,1331387,431132317,28885469
Pounds of Materials Used,Non-Grain Products,2013,11,Sugar and syrups,58514321,431132317,923500958
Pounds of Materials Used,Non-Grain Products,2013,11,Hops (dry),1440544,431132317,81078400
Pounds of Materials Used,Non-Grain Products,2013,11,Hops (used as extracts),282732,431132317,3885117
Pounds of Materials Used,Grain Products,2013,12,Malt and malt products,294248188,476420096,3939110211
Pounds of Materials Used,Grain Products,2013,12,Corn and corn products,48242094,476420096,592554950
Pounds of Materials Used,Grain Products,2013,12,Rice and rice products,47832575,476420096,723547930
Pounds of Materials Used,Grain Products,2013,12,Barley and barley products,19579344,476420096,144284274
Pounds of Materials Used,Grain Products,2013,12,Wheat and wheat products,2311377,476420096,28885469
Pounds of Materials Used,Non-Grain Products,2013,12,Sugar and syrups,61764460,476420096,923500958
Pounds of Materials Used,Non-Grain Products,2013,12,Hops (dry),2129685,476420096,81078400
Pounds of Materials Used,Non-Grain Products,2013,12,Hops (used as extracts),312373,476420096,3885117
Pounds of Materials Used,Grain Products,2014,1,Malt and malt products,315728713,511801186,3790022536
Pounds of Materials Used,Grain Products,2014,1,Corn and corn products,60186876,511801186,592890219
Pounds of Materials Used,Grain Products,2014,1,Rice and rice products,52099471,511801186,638817443
Pounds of Materials Used,Grain Products,2014,1,Barley and barley products,8185386,511801186,164177906
Pounds of Materials Used,Grain Products,2014,1,Wheat and wheat products,1372263,511801186,32480911
Pounds of Materials Used,Non-Grain Products,2014,1,Sugar and syrups,72039259,511801186,862930319
Pounds of Materials Used,Non-Grain Products,2014,1,Hops (dry),1890937,511801186,310576763
Pounds of Materials Used,Non-Grain Products,2014,1,Hops (used as extracts),298281,511801186,3651664
Pounds of Materials Used,Grain Products,2014,2,Malt and malt products,293750079,479898677,3790022536
Pounds of Materials Used,Grain Products,2014,2,Corn and corn products,49718568,479898677,592890219
Pounds of Materials Used,Grain Products,2014,2,Rice and rice products,48969378,479898677,638817443
Pounds of Materials Used,Grain Products,2014,2,Barley and barley products,8893650,479898677,164177906
Pounds of Materials Used,Grain Products,2014,2,Wheat and wheat products,2120033,479898677,32480911
Pounds of Materials Used,Non-Grain Products,2014,2,Sugar and syrups,74414600,479898677,862930319
Pounds of Materials Used,Non-Grain Products,2014,2,Hops (dry),1733845,479898677,310576763
Pounds of Materials Used,Non-Grain Products,2014,2,Hops (used as extracts),298524,479898677,3651664
Pounds of Materials Used,Grain Products,2014,3,Malt and malt products,335350528,553238307,3790022536
Pounds of Materials Used,Grain Products,2014,3,Corn and corn products,53923554,553238307,592890219
Pounds of Materials Used,Grain Products,2014,3,Rice and rice products,48705125,553238307,638817443
Pounds of Materials Used,Grain Products,2014,3,Barley and barley products,20694786,553238307,164177906
Pounds of Materials Used,Grain Products,2014,3,Wheat and wheat products,3621626,553238307,32480911
Pounds of Materials Used,Non-Grain Products,2014,3,Sugar and syrups,86871712,553238307,862930319
Pounds of Materials Used,Non-Grain Products,2014,3,Hops (dry),3719722,553238307,310576763
Pounds of Materials Used,Non-Grain Products,2014,3,Hops (used as extracts),351254,553238307,3651664
Pounds of Materials Used,Grain Products,2014,4,Malt and malt products,314317091,519534320,3790022536
Pounds of Materials Used,Grain Products,2014,4,Corn and corn products,51063013,519534320,592890219
Pounds of Materials Used,Grain Products,2014,4,Rice and rice products,55893495,519534320,638817443
Pounds of Materials Used,Grain Products,2014,4,Barley and barley products,10091164,519534320,164177906
Pounds of Materials Used,Grain Products,2014,4,Wheat and wheat products,2547858,519534320,32480911
Pounds of Materials Used,Non-Grain Products,2014,4,Sugar and syrups,83132566,519534320,862930319
Pounds of Materials Used,Non-Grain Products,2014,4,Hops (dry),2167689,519534320,310576763
Pounds of Materials Used,Non-Grain Products,2014,4,Hops (used as extracts),321444,519534320,3651664
Pounds of Materials Used,Grain Products,2014,5,Malt and malt products,332831907,550236675,3790022536
Pounds of Materials Used,Grain Products,2014,5,Corn and corn products,59741914,550236675,592890219
Pounds of Materials Used,Grain Products,2014,5,Rice and rice products,59209512,550236675,638817443
Pounds of Materials Used,Grain Products,2014,5,Barley and barley products,11263219,550236675,164177906
Pounds of Materials Used,Grain Products,2014,5,Wheat and wheat products,3267690,550236675,32480911
Pounds of Materials Used,Non-Grain Products,2014,5,Sugar and syrups,81403402,550236675,862930319
Pounds of Materials Used,Non-Grain Products,2014,5,Hops (dry),2173226,550236675,310576763
Pounds of Materials Used,Non-Grain Products,2014,5,Hops (used as extracts),345805,550236675,3651664
Pounds of Materials Used,Grain Products,2014,6,Malt and malt products,382399712,599251954,3790022536
Pounds of Materials Used,Grain Products,2014,6,Corn and corn products,59290119,599251954,592890219
Pounds of Materials Used,Grain Products,2014,6,Rice and rice products,47368927,599251954,638817443
Pounds of Materials Used,Grain Products,2014,6,Barley and barley products,23906204,599251954,164177906
Pounds of Materials Used,Grain Products,2014,6,Wheat and wheat products,4273103,599251954,32480911
Pounds of Materials Used,Non-Grain Products,2014,6,Sugar and syrups,78715950,599251954,862930319
Pounds of Materials Used,Non-Grain Products,2014,6,Hops (dry),2894437,599251954,310576763
Pounds of Materials Used,Non-Grain Products,2014,6,Hops (used as extracts),403502,599251954,3651664
Pounds of Materials Used,Grain Products,2014,7,Malt and malt products,370565836,581042127,3790022536
Pounds of Materials Used,Grain Products,2014,7,Corn and corn products,47760795,581042127,592890219
Pounds of Materials Used,Grain Products,2014,7,Rice and rice products,64828200,581042127,638817443
Pounds of Materials Used,Grain Products,2014,7,Barley and barley products,11164504,581042127,164177906
Pounds of Materials Used,Grain Products,2014,7,Wheat and wheat products,4202335,581042127,32480911
Pounds of Materials Used,Non-Grain Products,2014,7,Sugar and syrups,79758226,581042127,862930319
Pounds of Materials Used,Non-Grain Products,2014,7,Hops (dry),2423064,581042127,310576763
Pounds of Materials Used,Non-Grain Products,2014,7,Hops (used as extracts),339167,581042127,3651664
Pounds of Materials Used,Grain Products,2014,8,Malt and malt products,342497886,550652373,3790022536
Pounds of Materials Used,Grain Products,2014,8,Corn and corn products,49539298,550652373,592890219
Pounds of Materials Used,Grain Products,2014,8,Rice and rice products,58158328,550652373,638817443
