data_type,material_type,year,month,type,month_usage_by_type,month_sum_all_types,year_sum_by_type
Pounds of Materials Used,Non-Grain Products,2008,8,Hops (used as extracts),377424,620995630,6019292
Pounds of Materials Used,Grain Products,2008,9,Malt and malt products,362587470,570346335,4497468603
Pounds of Materials Used,Grain Products,2008,9,Corn and corn products,59787127,570346335,726766392
Pounds of Materials Used,Grain Products,2008,9,Rice and rice products,61739894,570346335,814375092
Pounds of Materials Used,Grain Products,2008,9,Barley and barley products,8282404,570346335,58048335
Pounds of Materials Used,Grain Products,2008,9,Wheat and wheat products,1840600,570346335,18207676
Pounds of Materials Used,Non-Grain Products,2008,9,Sugar and syrups,71982604,570346335,848033865
Pounds of Materials Used,Non-Grain Products,2008,9,Hops (dry),3788942,570346335,54889519
Pounds of Materials Used,Non-Grain Products,2008,9,Hops (used as extracts),337294,570346335,6019292
Pounds of Materials Used,Grain Products,2008,10,Malt and malt products,353803777,527670522,4497468603
Pounds of Materials Used,Grain Products,2008,10,Corn and corn products,63047343,527670522,726766392
Pounds of Materials Used,Grain Products,2008,10,Rice and rice products,58607059,527670522,814375092
Pounds of Materials Used,Grain Products,2008,10,Barley and barley products,3825118,527670522,58048335
Pounds of Materials Used,Grain Products,2008,10,Wheat and wheat products,1431903,527670522,18207676
Pounds of Materials Used,Non-Grain Products,2008,10,Sugar and syrups,42828943,527670522,848033865
Pounds of Materials Used,Non-Grain Products,2008,10,Hops (dry),3788949,527670522,54889519
Pounds of Materials Used,Non-Grain Products,2008,10,Hops (used as extracts),337430,527670522,6019292
Pounds of Materials Used,Grain Products,2008,11,Malt and malt products,322733711,482831043,4497468603
Pounds of Materials Used,Grain Products,2008,11,Corn and corn products,53628776,482831043,726766392
Pounds of Materials Used,Grain Products,2008,11,Rice and rice products,53971515,482831043,814375092
Pounds of Materials Used,Grain Products,2008,11,Barley and barley products,3309266,482831043,58048335
Pounds of Materials Used,Grain Products,2008,11,Wheat and wheat products,959228,482831043,18207676
Pounds of Materials Used,Non-Grain Products,2008,11,Sugar and syrups,44000736,482831043,848033865
Pounds of Materials Used,Non-Grain Products,2008,11,Hops (dry),3897905,482831043,54889519
Pounds of Materials Used,Non-Grain Products,2008,11,Hops (used as extracts),329906,482831043,6019292
Pounds of Materials Used,Grain Products,2008,12,Malt and malt products,318741733,478680070,4497468603
Pounds of Materials Used,Grain Products,2008,12,Corn and corn products,49919452,478680070,726766392
Pounds of Materials Used,Grain Products,2008,12,Rice and rice products,61716256,478680070,814375092
Pounds of Materials Used,Grain Products,2008,12,Barley and barley products,6152633,478680070,58048335
Pounds of Materials Used,Grain Products,2008,12,Wheat and wheat products,1348759,478680070,18207676
Pounds of Materials Used,Non-Grain Products,2008,12,Sugar and syrups,38952441,478680070,848033865
Pounds of Materials Used,Non-Grain Products,2008,12,Hops (dry),1576751,478680070,54889519
Pounds of Materials Used,Non-Grain Products,2008,12,Hops (used as extracts),272045,478680070,6019292
Pounds of Materials Used,Grain Products,2009,1,Malt and malt products,361377478,557117756,4298874888
Pounds of Materials Used,Grain Products,2009,1,Corn and corn products,63115693,557117756,711768515
Pounds of Materials Used,Grain Products,2009,1,Rice and rice products,59961083,557117756,718909529
Pounds of Materials Used,Grain Products,2009,1,Barley and barley products,2169601,557117756,58121006
Pounds of Materials Used,Grain Products,2009,1,Wheat and wheat products,873714,557117756,18142553
Pounds of Materials Used,Non-Grain Products,2009,1,Sugar and syrups,67834569,557117756,731159003
Pounds of Materials Used,Non-Grain Products,2009,1,Hops (dry),1461121,557117756,59907030
Pounds of Materials Used,Non-Grain Products,2009,1,Hops (used as extracts),324497,557117756,4113053
Pounds of Materials Used,Grain Products,2009,2,Malt and malt products,339472713,539389676,4298874888
Pounds of Materials Used,Grain Products,2009,2,Corn and corn products,60966715,539389676,711768515
Pounds of Materials Used,Grain Products,2009,2,Rice and rice products,60150183,539389676,718909529
Pounds of Materials Used,Grain Products,2009,2,Barley and barley products,3334476,539389676,58121006
Pounds of Materials Used,Grain Products,2009,2,Wheat and wheat products,1142813,539389676,18142553
Pounds of Materials Used,Non-Grain Products,2009,2,Sugar and syrups,69375203,539389676,731159003
Pounds of Materials Used,Non-Grain Products,2009,2,Hops (dry),4601598,539389676,59907030
Pounds of Materials Used,Non-Grain Products,2009,2,Hops (used as extracts),345975,539389676,4113053
Pounds of Materials Used,Grain Products,2009,3,Malt and malt products,380133298,597153119,4298874888
Pounds of Materials Used,Grain Products,2009,3,Corn and corn products,66543131,597153119,711768515
Pounds of Materials Used,Grain Products,2009,3,Rice and rice products,64006735,597153119,718909529
Pounds of Materials Used,Grain Products,2009,3,Barley and barley products,7094005,597153119,58121006
Pounds of Materials Used,Grain Products,2009,3,Wheat and wheat products,2175247,597153119,18142553
Pounds of Materials Used,Non-Grain Products,2009,3,Sugar and syrups,70030415,597153119,731159003
Pounds of Materials Used,Non-Grain Products,2009,3,Hops (dry),6787391,597153119,59907030
Pounds of Materials Used,Non-Grain Products,2009,3,Hops (used as extracts),382897,597153119,4113053
Pounds of Materials Used,Grain Products,2009,4,Malt and malt products,384396702,597053796,4298874888
Pounds of Materials Used,Grain Products,2009,4,Corn and corn products,67266636,597053796,711768515
Pounds of Materials Used,Grain Products,2009,4,Rice and rice products,63166930,597053796,718909529
Pounds of Materials Used,Grain Products,2009,4,Barley and barley products,3349556,597053796,58121006
Pounds of Materials Used,Grain Products,2009,4,Wheat and wheat products,1569606,597053796,18142553
Pounds of Materials Used,Non-Grain Products,2009,4,Sugar and syrups,71341108,597053796,731159003
Pounds of Materials Used,Non-Grain Products,2009,4,Hops (dry),5574889,597053796,59907030
Pounds of Materials Used,Non-Grain Products,2009,4,Hops (used as extracts),388369,597053796,4113053
Pounds of Materials Used,Grain Products,2009,5,Malt and malt products,391469434,608981778,4298874888
Pounds of Materials Used,Grain Products,2009,5,Corn and corn products,62481084,608981778,711768515
Pounds of Materials Used,Grain Products,2009,5,Rice and rice products,67120251,608981778,718909529
Pounds of Materials Used,Grain Products,2009,5,Barley and barley products,3684818,608981778,58121006
Pounds of Materials Used,Grain Products,2009,5,Wheat and wheat products,1712205,608981778,18142553
Pounds of Materials Used,Non-Grain Products,2009,5,Sugar and syrups,75011893,608981778,731159003
Pounds of Materials Used,Non-Grain Products,2009,5,Hops (dry),7051829,608981778,59907030
Pounds of Materials Used,Non-Grain Products,2009,5,Hops (used as extracts),450264,608981778,4113053
Pounds of Materials Used,Grain Products,2009,6,Malt and malt products,381247341,594842625,4298874888
Pounds of Materials Used,Grain Products,2009,6,Corn and corn products,62107546,594842625,711768515
Pounds of Materials Used,Grain Products,2009,6,Rice and rice products,64576127,594842625,718909529
Pounds of Materials Used,Grain Products,2009,6,Barley and barley products,8146509,594842625,58121006
Pounds of Materials Used,Grain Products,2009,6,Wheat and wheat products,1966215,594842625,18142553
Pounds of Materials Used,Non-Grain Products,2009,6,Sugar and syrups,69563483,594842625,731159003
Pounds of Materials Used,Non-Grain Products,2009,6,Hops (dry),6854083,594842625,59907030
Pounds of Materials Used,Non-Grain Products,2009,6,Hops (used as extracts),381321,594842625,4113053
Pounds of Materials Used,Grain Products,2009,7,Malt and malt products,382672919,592566418,4298874888
Pounds of Materials Used,Grain Products,2009,7,Corn and corn products,68510353,592566418,711768515
Pounds of Materials Used,Grain Products,2009,7,Rice and rice products,63277242,592566418,718909529
Pounds of Materials Used,Grain Products,2009,7,Barley and barley products,4185235,592566418,58121006
Pounds of Materials Used,Grain Products,2009,7,Wheat and wheat products,1475523,592566418,18142553
Pounds of Materials Used,Non-Grain Products,2009,7,Sugar and syrups,64776817,592566418,731159003
Pounds of Materials Used,Non-Grain Products,2009,7,Hops (dry),7309199,592566418,59907030
Pounds of Materials Used,Non-Grain Products,2009,7,Hops (used as extracts),359130,592566418,4113053
Pounds of Materials Used,Grain Products,2009,8,Malt and malt products,362521445,553781874,4298874888
Pounds of Materials Used,Grain Products,2009,8,Corn and corn products,57684547,553781874,711768515
Pounds of Materials Used,Grain Products,2009,8,Rice and rice products,61417028,553781874,718909529
Pounds of Materials Used,Grain Products,2009,8,Barley and barley products,3789027,553781874,58121006
Pounds of Materials Used,Grain Products,2009,8,Wheat and wheat products,1298648,553781874,18142553
Pounds of Materials Used,Non-Grain Products,2009,8,Sugar and syrups,61354833,553781874,731159003
Pounds of Materials Used,Non-Grain Products,2009,8,Hops (dry),5393471,553781874,59907030
Pounds of Materials Used,Non-Grain Products,2009,8,Hops (used as extracts),322875,553781874,4113053
